architecture,workers,run,model,workload,operations,elapsed_seconds,throughput_ops_s,success,seat_taken,duplicate,error
direct,1,1,numbered,hotspot_80_5,25997,53.7196,483.94,5557,20440,0,0
indirect,1,1,numbered,hotspot_80_5,25997,44.6121,582.73,5557,20440,0,0
direct,1,2,numbered,hotspot_80_5,25997,74.3592,349.61,0,0,25997,0
indirect,1,2,numbered,hotspot_80_5,25997,26.2340,990.96,5557,20440,0,0
direct,1,3,numbered,hotspot_80_5,25997,44.0115,590.69,5557,20440,0,0
indirect,1,3,numbered,hotspot_80_5,25997,22.1967,1171.21,5557,20440,0,0
direct,2,1,numbered,hotspot_80_5,25997,45.2018,575.13,5557,20440,0,0
indirect,2,1,numbered,hotspot_80_5,25997,33.6986,771.46,5557,20440,0,0
direct,2,2,numbered,hotspot_80_5,25997,51.9766,500.17,5557,20440,0,0
indirect,2,2,numbered,hotspot_80_5,25997,28.9029,899.46,5557,20440,0,0
direct,2,3,numbered,hotspot_80_5,25997,49.9307,520.66,5557,20440,0,0
indirect,2,3,numbered,hotspot_80_5,25997,52.5990,494.25,5557,20440,0,0
direct,4,1,numbered,hotspot_80_5,25997,53.9690,481.70,5557,20440,0,0
indirect,4,1,numbered,hotspot_80_5,25997,28.1904,922.19,5557,20440,0,0
direct,4,2,numbered,hotspot_80_5,25997,47.6194,545.93,5557,20440,0,0
indirect,4,2,numbered,hotspot_80_5,25997,32.2265,806.70,5557,20440,0,0
direct,4,3,numbered,hotspot_80_5,25997,50.4788,515.01,5557,20440,0,0
indirect,4,3,numbered,hotspot_80_5,25997,35.2127,738.28,5557,20440,0,0
